Date,Open,High,Low,Close,Adj Close,Volume,log_ret_1,ret_5,ret_10,ret_20,vol_5,vol_10,vol_20,dd_20,dd_60,body,range,upper_wick,lower_wick,is_red,vol_z_20
2000-03-28,1523.8599853515625,1527.3599853515625,1507.0899658203125,1507.72998046875,1507.72998046875,959100000,-0.010641384406600805,0.009277905973655631,0.10931828965587598,0.1034161765626831,0.010409819730897179,0.01763464986100193,0.017499223267195857,-0.01291685607041408,-0.01291685607041408,-16.1300048828125,20.27001953125,3.5,0.6400146484375,1,-1.1856153119748032
2000-03-29,1507.72998046875,1521.449951171875,1497.449951171875,1508.52001953125,1508.52001953125,1061900000,0.0005238551715322017,0.005251096069605055,0.08359791663067906,0.09377249227407525,0.0103060447271705,0.01717767917336107,0.01749362800173833,-0.012399631997309668,-0.012399631997309668,0.7900390625,24.0,12.929931640625,10.280029296875,0,-0.424147314719805
2000-03-30,1508.52001953125,1517.3800048828125,1474.6300048828125,1487.9200439453125,1487.9200439453125,1193400000,-0.013749849620433678,-0.025815911396141256,0.020192444022683276,0.07682957491127174,0.0065446186882403895,0.01193890201579272,0.017958798576252377,-0.02588605790224401,-0.02588605790224401,-20.5999755859375,42.75,8.8599853515625,13.2900390625,1,0.490010849990787
2000-03-31,1487.9200439453125,1519.81005859375,1484.3800048828125,1498.5799560546875,1498.5799560546875,1227400000,0.007138762685515928,-0.018907209106212464,0.02329169326373104,0.06344863240141718,0.008459158337783736,0.01203649794474342,0.017588437898729627,-0.018907209106212505,-0.018907209106212505,10.659912109375,35.4300537109375,21.2301025390625,3.5400390625,0,0.6906479650560318
2000-04-03,1498.5799560546875,1507.18994140625,1486.9599609375,1505.969970703125,1505.969970703125,1021700000,0.004919225661762653,-0.011739933340601638,0.033872682599506154,0.08243483625953574,0.0093520081248714,0.011744158539906081,0.017189573105500577,-0.01406910215910682,-0.01406910215910682,7.3900146484375,20.22998046875,1.219970703125,11.6199951171875,0,-0.7157709214152872
2000-04-04,1505.97998046875,1526.449951171875,1416.4100341796875,1494.72998046875,1494.72998046875,1515460000,-0.0074916139480272976,-0.00862223353544933,0.0005756761661814824,0.10261724218632295,0.008740995056087109,0.009256226586606351,0.01594839584634394,-0.021427717456280502,-0.021427717456280502,-11.25,110.0399169921875,20.469970703125,78.3199462890625,1,2.291811147235508
2000-04-05,1494.72998046875,1506.550048828125,1478.050048828125,1487.3699951171875,1487.3699951171875,1110300000,-0.004936119081060472,-0.014020380333192084,-0.008842906627648972,0.08829300377295257,0.008729777214406736,0.009232571746208403,0.016075425735552838,-0.026246164773907867,-0.026246164773907867,-7.3599853515625,28.5,11.820068359375,9.3199462890625,1,-0.13006717635205847
2000-04-06,1487.3699951171875,1511.760009765625,1487.3699951171875,1501.3399658203125,1501.3399658203125,1008000000,0.009348563512982749,0.009019249340452618,-0.017029502197521418,0.07109277270983938,0.007531966329515336,0.0076135015906772085,0.015356138775509775,-0.01710028137245312,-0.01710028137245312,13.969970703125,24.3900146484375,10.4200439453125,0.0,0,-0.7062141877522811
2000-04-07,1501.3399658203125,1518.6800537109375,1501.3399658203125,1516.3499755859375,1516.3499755859375,891600000,0.009948095294857916,0.011857905518790623,-0.007273503486627253,0.08693473013269637,0.008112590047496733,0.008464442209709992,0.01529593662746054,-0.007273503486627296,-0.007273503486627296,15.010009765625,17.340087890625,2.330078125,0.0,0,-1.268575285525406
2000-04-10,1516.3499755859375,1527.18994140625,1503.3499755859375,1504.4599609375,1504.4599609375,853700000,-0.007872111321383407,-0.0010026825202363865,-0.0127308444348887,0.08733609390349817,0.009063920940881463,0.008756815007858349,0.01528038718915328,-0.015057677836532899,-0.015057677836532899,-11.8900146484375,23.8399658203125,10.8399658203125,1.1099853515625,1,-1.3733537143667436
