Date,Open,High,Low,Close,Adj Close,Volume,log_ret_1,ret_5,ret_10,ret_20,vol_5,vol_10,vol_20,dd_20,dd_60,body,range,upper_wick,lower_wick,is_red,vol_z_20,sell_score
2000-05-09,1424.1700439453125,1430.280029296875,1401.8499755859375,1412.1400146484375,1412.1400146484375,896600000,-0.0084829240727154,-0.0236121548871337,-0.0441980245204817,-0.0613641763065156,0.0136638333436194,0.011580635219623,0.0214331873350756,-0.0589434510336226,-0.0754978521455208,-12.030029296875,28.4300537109375,6.1099853515625,10.2900390625,1,-0.8441687728414621,0.19999999999999998
2000-05-10,1412.1400146484375,1412.1400146484375,1375.1400146484375,1383.050048828125,1383.050048828125,1006400000,-0.0208150540471356,-0.0226485247055013,-0.0533473479813141,-0.0783291369857541,0.0133603554227607,0.0125551774603262,0.0217917676955865,-0.0638874650216125,-0.0945425188236956,-29.0899658203125,37.0,0.0,7.9100341796875,1,0.0009403242352592,0.18
2000-05-11,1383.050048828125,1410.260009765625,1383.050048828125,1407.81005859375,1407.81005859375,953600000,0.0177441064451505,-0.0012485281059984,-0.03898505286183,-0.0404588313375999,0.0167195253937158,0.0144097094433778,0.0218580193187366,-0.0471287399650406,-0.07833259489847,24.760009765625,27.2099609375,2.449951171875,0.0,0,-0.3418067246557562,0.18
2000-05-12,1407.81005859375,1430.1300048828125,1407.81005859375,1420.9599609375,1420.9599609375,858200000,0.0092973249689617,-0.0081458882653145,-0.0216672002159634,-0.0135716160912382,0.0152333384878317,0.0148773614536478,0.0216476415129332,-0.0382282750627355,-0.0697235951995979,13.14990234375,22.3199462890625,9.1700439453125,0.0,0,-1.02623540249129,0.16
2000-05-15,1420.9599609375,1452.3900146484375,1416.5400390625,1452.3599853515625,1452.3599853515625,854600000,0.0218571374325819,0.0197939435154503,-0.0108224176049293,0.0706197459898101,0.0180791168638188,0.0162909111322046,0.0170951284710898,-0.0169752795709692,-0.0491665755610666,31.4000244140625,35.8499755859375,0.030029296875,4.419921875,0,-1.0298200011523444,0.15975557003509094
2000-05-16,1452.3599853515625,1470.4000244140625,1450.760009765625,1466.0400390625,1466.0400390625,955500000,0.0093751053963181,0.0381690369615943,0.0136556288618305,0.0460955162954954,0.0167298942961659,0.0157860355529543,0.0157487105989904,-0.0077159835904391,-0.0402104954929899,13.6800537109375,19.6400146484375,4.3599853515625,1.5999755859375,0,0.0299646545277455,0.15892520552671865
2000-05-17,1466.0400390625,1466.0400390625,1441.6700439453125,1447.800048828125,1447.800048828125,820500000,-0.0125197182640962,0.0468168162496096,0.0231079597246461,0.004293854467894,0.0132757209872231,0.0144930436043983,0.0148166658219147,-0.020061656482573,-0.0521518823056302,-18.239990234375,24.3699951171875,0.0,6.1300048828125,1,-1.336468275724991,0.17982814039673198
2000-05-18,1447.800048828125,1458.0400390625,1436.5899658203125,1437.2099609375,1437.2099609375,807900000,-0.007341489575181,0.0208834296674349,0.019608828012547,0.0068232540328518,0.0139397982718244,0.0146949743435014,0.0147371403768435,-0.0272295200239804,-0.0590850184672649,-10.590087890625,21.4500732421875,10.239990234375,0.6199951171875,1,-1.320663939967624,0.18
2000-05-19,1437.2099609375,1437.2099609375,1401.739990234375,1406.949951171875,1406.949951171875,853700000,-0.0212795008342977,-0.0098595387278763,-0.0179251122923661,-0.0192327067487468,0.0173885701626926,0.0154127181063414,0.0154551050265994,-0.0477109006321309,-0.0788956914403571,-30.260009765625,35.469970703125,0.0,5.2099609375,1,-0.7854705401688177,0.19999999999999998
2000-05-22,1406.949951171875,1410.550048828125,1368.72998046875,1400.719970703125,1400.719970703125,869000000,-0.0044378369728223,-0.0355559332185383,-0.0164657818368548,-0.0203796280383864,0.0112794852647729,0.0153757890673137,0.0154664673522802,-0.0519276408827161,-0.0829743453023715,-6.22998046875,41.820068359375,3.60009765625,31.989990234375,1,-0.62065383793156,0.4
2000-05-23,1400.719970703125,1403.77001953125,1373.4300537109375,1373.8599853515625,1373.8599853515625,869900000,-0.0193620835591028,-0.0628769005312328,-0.0271078143100456,-0.0701077269889552,0.0073243699861744,0.0162709818839743,0.0137752792549071,-0.0642874269698195,-0.1005590846987985,-26.8599853515625,30.3399658203125,3.050048828125,0.429931640625,1,-0.5358134353774042,0.18
2000-05-24,1373.8599853515625,1401.75,1361.0899658203125,1399.050048828125,1399.050048828125,1152300000,0.0181691840985208,-0.033671776734266,0.0115686341311775,-0.0423958698008009,0.0157859303982093,0.0161308964876209,0.0144741089984179,-0.0471309049357228,-0.0840676125026292,25.1900634765625,40.6600341796875,2.699951171875,12.77001953125,0,2.275563017463905,0.18
